bpred,bimod;ruu_size,16;lsq_size,8:sim_IPC,1.3065;sim_exec_BW,1.4914;ruu_full,0.3799;lsq_full,0.1830;avg_sim_slip,12.7334;dl1.miss_rate,0.0001;ul2.miss_rate,0.1880;total_power_cycle_cc1,616826609.5073
bpred,bimod;ruu_size,16;lsq_size,16:sim_IPC,1.3576;sim_exec_BW,1.5584;ruu_full,0.6289;lsq_full,0.0000;avg_sim_slip,13.5443;dl1.miss_rate,0.0001;ul2.miss_rate,0.1881;total_power_cycle_cc1,610495569.8868
bpred,bimod;ruu_size,16;lsq_size,32:sim_IPC,1.3576;sim_exec_BW,1.5584;ruu_full,0.6289;lsq_full,0.0000;avg_sim_slip,13.5442;dl1.miss_rate,0.0001;ul2.miss_rate,0.1881;total_power_cycle_cc1,614842398.5915
bpred,bimod;ruu_size,32;lsq_size,8:sim_IPC,1.3089;sim_exec_BW,1.4986;ruu_full,0.0396;lsq_full,0.4466;avg_sim_slip,16.5665;dl1.miss_rate,0.0001;ul2.miss_rate,0.1879;total_power_cycle_cc1,697199488.8517
bpred,bimod;ruu_size,32;lsq_size,16:sim_IPC,1.4908;sim_exec_BW,1.7471;ruu_full,0.3478;lsq_full,0.0528;avg_sim_slip,21.3668;dl1.miss_rate,0.0001;ul2.miss_rate,0.1881;total_power_cycle_cc1,652190242.4257
bpred,bimod;ruu_size,32;lsq_size,32:sim_IPC,1.5045;sim_exec_BW,1.7664;ruu_full,0.4088;lsq_full,0.0000;avg_sim_slip,21.5737;dl1.miss_rate,0.0001;ul2.miss_rate,0.1881;total_power_cycle_cc1,657901242.2068
bpred,comb;ruu_size,16;lsq_size,8:sim_IPC,1.4208;sim_exec_BW,1.5341;ruu_full,0.4130;lsq_full,0.1957;avg_sim_slip,12.7694;dl1.miss_rate,0.0001;ul2.miss_rate,0.1884;total_power_cycle_cc1,593255234.0523
bpred,comb;ruu_size,16;lsq_size,16:sim_IPC,1.4815;sim_exec_BW,1.6239;ruu_full,0.6932;lsq_full,0.0000;avg_sim_slip,13.5982;dl1.miss_rate,0.0001;ul2.miss_rate,0.1885;total_power_cycle_cc1,586320393.9158
bpred,comb;ruu_size,16;lsq_size,32:sim_IPC,1.4815;sim_exec_BW,1.6239;ruu_full,0.6932;lsq_full,0.0000;avg_sim_slip,13.5982;dl1.miss_rate,0.0001;ul2.miss_rate,0.1885;total_power_cycle_cc1,590636194.1052
bpred,comb;ruu_size,32;lsq_size,8:sim_IPC,1.4228;sim_exec_BW,1.5415;ruu_full,0.0431;lsq_full,0.4843;avg_sim_slip,16.6046;dl1.miss_rate,0.0001;ul2.miss_rate,0.1884;total_power_cycle_cc1,670725615.8908
bpred,comb;ruu_size,32;lsq_size,16:sim_IPC,1.6501;sim_exec_BW,1.8120;ruu_full,0.3877;lsq_full,0.0686;avg_sim_slip,22.0111;dl1.miss_rate,0.0001;ul2.miss_rate,0.1886;total_power_cycle_cc1,617149094.7091
